participantsID,a,Ter,eta,z,sz,st,v,AICc(1),BIC(1),Chi(1),df
00aa64fdcb675341,1.190275e-01,9.893106e-01,2.000000e-01,7.083777e-03,5.356239e-02,8.903795e-01,8.059116e-02,8.242874e+02,8.416749e+02,2.303562e+03,6
02535fcf7e16bb56,1.350576e-01,4.103825e-01,2.000000e-01,9.120281e-03,6.077593e-02,3.693442e-01,6.854626e-02,1.224734e+03,1.242122e+03,2.573307e+03,6
06c46b112368babf,1.289509e-01,6.628720e-01,2.000000e-01,8.314171e-03,5.802792e-02,5.965848e-01,5.454009e-02,1.005592e+03,1.022979e+03,1.757625e+03,6
09ba82a2ca814481,1.043156e-01,1.662326e+00,2.000000e-01,5.440870e-03,4.694201e-02,1.496093e+00,1.018922e-01,8.695160e+02,8.869035e+02,3.768080e+03,6
0abfc32a4d12c731,1.502680e-01,1.080596e+00,2.000000e-01,1.129024e-02,6.762060e-02,9.725362e-01,3.113159e-02,5.950964e+02,6.124840e+02,8.560464e+02,6
0b0a94c202d0b233,1.557124e-01,6.848860e-01,2.000000e-01,1.212317e-02,7.007056e-02,6.163974e-01,3.664095e-02,8.287019e+02,8.459076e+02,1.023316e+03,6
0beac20378edac7b,1.222626e-01,5.980667e-01,2.000000e-01,7.474070e-03,5.501816e-02,5.382600e-01,4.296215e-02,1.053480e+03,1.070867e+03,1.910888e+03,6
0d894551bc966608,1.605423e-01,3.806235e-01,2.000000e-01,1.288691e-02,7.224402e-02,3.425612e-01,1.453132e-01,2.205528e+03,2.222870e+03,2.782824e+06,6
10d15198ac61a404,1.539482e-01,8.522223e-01,2.000000e-01,1.185002e-02,6.927667e-02,7.670001e-01,3.512041e-03,6.308183e+02,6.482058e+02,5.898289e+02,6
12a096342c4d052f,1.204782e-01,8.587432e-01,2.000000e-01,7.257497e-03,5.421519e-02,7.728689e-01,2.486064e-02,7.686023e+02,7.859899e+02,1.154392e+03,6
13e347e32a454872,9.559868e-02,5.584397e-01,2.000000e-01,4.569554e-03,4.301941e-02,5.025957e-01,8.486052e-03,1.010178e+03,1.027566e+03,1.560253e+03,6
15e0c065b2c11595,1.353519e-01,8.300941e-01,2.000000e-01,9.160071e-03,6.090836e-02,7.470847e-01,-3.994566e-03,6.402533e+02,6.576408e+02,6.754773e+02,6
163b12703c8e5c3c,1.480812e-01,1.021602e+00,2.000000e-01,1.096402e-02,6.663654e-02,9.194422e-01,1.097499e-02,5.713665e+02,5.887540e+02,6.677059e+02,6
1bf86ff948486447,1.393457e-01,6.635639e-01,2.000000e-01,9.708613e-03,6.270557e-02,5.972075e-01,2.348209e-02,9.482233e+02,9.656109e+02,1.331309e+03,6
1cb976bac3a2016b,1.492503e-01,9.358913e-01,2.000000e-01,1.113782e-02,6.716262e-02,8.423022e-01,-1.454366e-02,5.407318e+02,5.581194e+02,4.610101e+02,6
1ffdcfc59b83c43a,1.530613e-01,9.225622e-01,2.000000e-01,1.171389e-02,6.887761e-02,8.303060e-01,-7.069949e-03,5.483129e+02,5.657004e+02,5.049217e+02,6
221e9f16c114b2c0,1.302799e-01,7.509712e-01,2.000000e-01,8.486422e-03,5.862594e-02,6.758741e-01,7.623985e-02,9.156334e+02,9.330209e+02,1.946436e+03,6
22d84796012679e8,1.711474e-01,1.118329e+00,2.000000e-01,1.464572e-02,7.701634e-02,1.006496e+00,9.548087e-02,6.908837e+02,7.082263e+02,1.323475e+03,6
247384e4eccc4f80,9.946235e-02,7.389774e-01,2.000000e-01,4.946380e-03,4.475806e-02,6.650796e-01,-5.435948e-03,7.701806e+02,7.875681e+02,1.083511e+03,6
2737c4b829b3018f,1.136329e-01,5.155175e-01,2.000000e-01,6.456217e-03,5.113480e-02,4.639657e-01,-2.635826e-02,9.304020e+02,9.477896e+02,9.816608e+02,6
27902f23b60a7b76,1.207296e-01,1.002580e+00,2.000000e-01,7.287820e-03,5.432833e-02,9.023216e-01,8.963301e-03,6.177265e+02,6.351140e+02,9.725987e+02,6
279cd1540fc8f71f,1.343568e-01,4.438345e-01,2.000000e-01,9.025878e-03,6.046057e-02,3.994510e-01,9.585328e-02,1.389797e+03,1.407184e+03,2.727159e+04,6
296a71628065dfa8,1.238002e-01,1.632935e+00,2.000000e-01,7.663251e-03,5.571011e-02,1.469641e+00,-6.552939e-03,4.817729e+02,4.991604e+02,7.180948e+02,6
2a531595d6ab08c8,1.163372e-01,7.485296e-01,2.000000e-01,6.767175e-03,5.235175e-02,6.736766e-01,3.533683e-02,8.748081e+02,8.921957e+02,1.454294e+03,6
