participantsID,a,Ter,eta,z,sz,st,v,AICc(2),BIC(2),Chi(2),df
00aa64fdcb675341,5.822691e-01,8.811670e-01,4.173878e-01,1.695186e-01,8.630486e-10,7.964124e-01,2.312472e-01,2.206297e+02,2.380172e+02,4.102026e-01,6
02535fcf7e16bb56,7.465617e-01,1.875057e-01,4.991152e-01,2.786772e-01,2.461980e-06,1.693955e-01,2.556336e-01,5.198013e+02,5.371889e+02,1.057438e+02,6
06c46b112368babf,6.789725e-01,4.002500e-01,4.999535e-01,2.305018e-01,3.578942e-05,7.995000e-01,1.126103e-02,4.284152e+02,4.458027e+02,1.755321e+03,6
09ba82a2ca814481,3.226073e-01,1.061047e+00,2.718049e-01,5.203775e-02,4.037216e-05,6.945635e-03,2.553713e-01,1.812083e+02,1.985959e+02,1.480000e-02,6
0abfc32a4d12c731,1.943643e+00,1.068518e+00,2.054577e-01,1.888874e+00,4.637819e-07,6.107033e-01,-4.506865e-03,2.099067e+02,2.272942e+02,2.351759e-02,6
0b0a94c202d0b233,7.292690e-01,3.819416e-01,2.576959e-01,2.659166e-01,1.715633e-03,6.973669e-01,-2.817606e-02,3.035391e+02,3.207449e+02,1.349397e+01,6
0beac20378edac7b,2.399839e-01,7.619849e-01,5.000000e-01,2.879615e-02,5.407278e-26,9.338646e-01,1.032266e-01,4.909299e+02,5.083175e+02,9.302616e+01,6
0d894551bc966608,6.979729e-01,1.265740e-01,3.933021e-01,2.435831e-01,1.146329e-02,8.040990e-09,5.669067e-01,3.557362e+02,3.730788e+02,6.480246e+09,6
10d15198ac61a404,4.147495e-01,1.376726e+00,4.807901e-01,8.600856e-02,7.292289e-04,2.039771e+00,4.910532e-03,3.255961e+02,3.429836e+02,2.131217e+02,6
12a096342c4d052f,5.585702e-01,5.724965e-01,4.856922e-01,1.560003e-01,3.671351e-06,7.041640e-01,1.511696e-01,3.919126e+02,4.093001e+02,1.419753e+10,6
13e347e32a454872,3.822757e-02,7.926065e-01,1.670302e-05,7.306735e-04,7.363310e-20,6.218612e-01,5.000000e+00,5.220876e+02,5.394752e+02,1.136266e+01,6
15e0c065b2c11595,4.115515e-01,8.002168e-01,3.099460e-01,8.468731e-02,2.538926e-03,3.622628e-02,3.298867e-03,3.231034e+02,3.404909e+02,1.205604e-01,6
