participantsID,a,Ter,eta,z,sz,st,v,AICc(5),BIC(5),Chi(5),df
739442e141b9639a,2.606173e-02,9.545634e-01,4.929609e-01,5.000000e-04,1.020402e-28,5.341522e-01,4.375822e+00,4.323988e+02,4.525793e+02,1.497779e+01,7
74dc2bc1712979fe,3.970923e-01,7.524883e-01,1.085544e-01,6.271006e-02,1.066568e-01,2.620554e-01,3.982543e-02,3.567500e+02,3.769305e+02,1.184000e-02,7
75da8965ce4f9b28,1.045636e-01,1.297082e+00,4.640054e-01,5.466771e-03,1.298454e-06,1.237161e+00,5.011284e-01,3.297863e+02,3.499136e+02,1.029000e-02,7
77d9b25715656b19,1.026304e-02,1.050515e+00,4.610871e-10,8.304755e-04,1.488899e-24,7.724858e-01,5.000000e+00,4.042231e+02,4.243504e+02,1.753177e+00,7
7e158eee0bbe3c33,1.007982e+00,9.103040e-01,1.725178e-01,8.708740e-01,2.688684e-01,2.749996e-02,5.171308e-02,1.984109e+02,2.185914e+02,1.789629e-01,7
819c4ba6a036130b,1.581610e-03,8.937362e-01,2.542123e-18,5.816096e-04,1.301773e-16,7.592624e-01,4.886559e+00,5.011163e+02,5.212968e+02,6.840685e+02,7
820fed1432e2cffc,1.986520e+00,3.185065e+00,3.606217e-01,1.973131e+00,1.000343e-05,1.181620e-04,-1.354934e-02,2.058426e+02,2.260231e+02,6.736972e+02,7
8364d0796dcecadf,3.781496e-01,1.599935e+00,3.638714e-02,7.149857e-02,3.461445e-03,8.320482e-01,1.529296e-01,1.282546e+02,1.484350e+02,1.480000e-02,7
84397dc336c286b4,2.479620e-01,1.612352e+00,4.856591e-01,2.317232e-01,1.402733e-02,1.995358e+00,-7.347720e-03,2.617547e+02,2.819352e+02,1.184000e-02,7
865f30c3abd2af67,5.057664e-01,4.485617e-01,4.759522e-01,1.278998e-01,1.632034e-06,6.998870e-01,4.536289e-02,1.487070e+01,3.505118e+01,8.488414e+19,7
88316d88dd9fdbf7,1.918781e+00,1.964950e+00,4.431596e-02,1.811055e+00,9.897985e-02,6.956243e-01,-2.017583e-02,2.016314e+02,2.216510e+02,1.450000e-02,7
88586c741f59e4d3,1.037595e+00,8.978699e-01,5.000000e-01,5.409802e-01,2.304072e-04,1.794740e+00,-3.962405e-02,3.019452e+02,3.220189e+02,1.569586e+08,7
8b79e9cd1e3a58e9,1.292900e+00,5.501031e-01,4.727214e-01,8.357954e-01,3.633917e-03,1.167458e-02,-6.605119e-02,2.311106e+02,2.512911e+02,5.630992e+65,7
8e3374a0d50454e0,1.091023e-01,7.737649e-01,2.655956e-01,7.591640e-02,6.468565e-02,7.012795e-02,7.306649e-02,3.711248e+02,3.913053e+02,1.184000e-02,7
8e531917bed03e00,3.660511e-01,1.022568e+00,1.178018e-01,6.699669e-02,3.255923e-04,2.655959e-03,1.295681e-01,1.982454e+02,2.184259e+02,1.480000e-02,7
946fca84b1d53bed,6.215762e-01,7.654187e-01,4.948869e-01,1.921691e-01,1.728268e-05,4.437694e-02,-4.630977e-05,3.149281e+02,3.351085e+02,2.701448e+03,7
96b09fe2762bafab,3.770589e-01,5.894652e-01,3.973570e-01,2.032835e-01,1.699591e-01,3.636017e-01,-1.908314e-01,3.975258e+02,4.177063e+02,3.848066e+00,7
99bca86575635ced,2.113840e-01,6.609908e-01,2.557469e-01,8.706942e-02,1.353740e-01,5.240992e-01,-4.863644e-02,4.581200e+02,4.783005e+02,1.143656e+00,7
9d781c40d36055b2,5.628991e-01,4.497522e-01,4.959120e-01,1.584277e-01,2.683559e-06,6.542299e-01,-1.702099e-03,1.574830e+01,3.592879e+01,1.587380e+20,7
9e5ca4f7d45dda1b,3.657051e-01,7.959093e-01,5.107332e-02,5.810191e-02,5.735768e-02,4.315976e-01,2.064193e-02,3.291674e+02,3.492947e+02,1.176000e-02,7
9ead7cfe118211af,2.981611e-03,1.214319e+00,4.999545e-01,1.090466e-03,1.586081e-19,1.179988e+00,4.953058e+00,3.587916e+02,3.789721e+02,7.761729e+00,7
a0891b37b5b5d79d,1.235526e-01,8.244118e-01,4.776220e-01,8.500078e-02,1.420545e-05,2.745911e-01,4.258039e-03,3.728606e+02,3.930411e+02,1.184000e-02,7
a0b880b91c2982dc,1.887390e+00,4.636685e+00,3.603181e-01,1.781121e+00,1.769369e-01,1.152837e-01,8.958746e-02,2.592875e+02,2.794680e+02,2.698745e+03,7
a751959dd7084c7b,4.673100e-01,1.300935e+00,8.042902e-02,1.091893e-01,1.252182e-03,9.004701e-02,7.124767e-02,2.276120e+02,2.477925e+02,6.736972e+02,7
a7ef69324e55dcf3,4.661910e-01,7.380668e-01,4.977567e-01,1.086670e-01,6.483513e-03,8.814777e-01,1.427137e-01,2.922435e+02,3.124240e+02,1592021443036220160,7
ab06a32c33b7c594,6.095872e-01,3.925403e-01,2.450471e-01,1.892603e-01,4.106020e-02,7.096203e-01,1.364939e-01,3.002436e+02,3.204241e+02,6.763662e+00,7
ab652d1792ba579f,2.508869e-01,1.268711e+00,1.233628e-02,3.147212e-02,1.038452e-04,1.701866e-01,2.540371e-01,1.640214e+02,1.842019e+02,1.480000e-02,7
ab7c01f6e1ec753a,1.991907e-02,1.371029e+00,4.999836e-01,9.539866e-03,1.807973e-02,1.343996e+00,-4.284948e-02,3.374634e+02,3.576439e+02,2.578103e-02,7
adb5486de57c1af0,5.261627e-03,2.235149e+00,1.375151e-09,1.534668e-03,1.562477e-13,3.427596e+00,4.898325e+00,2.653248e+02,2.854521e+02,2.954711e+00,7
ae4cf4947761ad3f,2.616358e-01,1.080651e+00,3.932946e-01,8.783814e-02,1.746520e-01,1.223293e+00,2.185746e-01,3.168326e+02,3.370131e+02,1.998829e-01,7
af8390dd2a780433,3.865606e-01,1.132025e+00,2.764086e-01,7.474622e-02,5.539460e-03,8.957668e-01,9.444396e-03,2.664720e+02,2.866525e+02,1.332000e-02,7
b8d6cea15a548aa9,1.871225e-01,8.774274e-01,4.559078e-01,1.469484e-01,2.711692e-02,4.255769e-01,2.107126e-01,2.862499e+02,3.064304e+02,1.184000e-02,7
bc688588712e0329,2.617851e-01,2.059641e+00,3.054304e-01,3.426571e-02,1.487688e-02,9.041351e-01,-2.210101e-04,2.081192e+02,2.282464e+02,1.470000e-02,7
bd2adbff911d558e,1.600441e+00,2.629238e-01,2.448934e-01,1.285044e+00,2.441361e-02,2.632563e-03,1.186092e-01,2.293864e+02,2.495137e+02,1.614732e+36,7
c00c5c68db223d0f,9.709368e-01,4.242905e-01,3.209015e-01,4.713592e-01,1.354940e-05,8.078279e-01,1.486116e-01,2.485573e+02,2.687378e+02,6.684336e+02,7
c012de0ccb49819f,2.627896e-01,5.328795e-01,5.000000e-01,1.397734e-01,6.619220e-15,5.783491e-01,-2.385973e-01,5.534862e+02,5.736667e+02,6.292048e+00,7
c4ea8a11570e9599,3.649742e-02,1.030968e+00,1.508068e-05,6.796650e-04,8.836524e-13,7.004760e-01,5.000000e+00,4.037286e+02,4.239090e+02,2.109852e-02,7
c79644ab153c0a48,1.780870e-03,8.721102e-01,2.953755e-10,7.808703e-04,2.154708e-11,7.140320e-01,4.577527e+00,4.495767e+02,4.697572e+02,1.616244e+01,7
c7ddb07dc740f9c1,5.527613e-01,1.130876e+00,3.901331e-01,1.468947e-01,2.192264e-02,1.298083e+00,4.713826e-04,2.695173e+02,2.896446e+02,9.677045e+00,7
c893ddb5f65f1a1c,1.849890e+00,1.528422e+00,9.450019e-02,1.711046e+00,2.542220e-02,4.031117e-01,-1.063636e-02,2.166891e+02,2.368696e+02,1.480000e-02,7
ce134a9a9b3122a0,4.112070e-01,1.494092e-01,4.113315e-01,7.319716e-02,6.283198e-02,2.862714e-01,1.709936e-01,4.713307e+02,4.914580e+02,8.932136e+11,7
d2bdb6ae89eb8aca,6.818966e-01,3.573161e-01,2.482230e-01,2.334296e-01,7.231820e-02,6.349696e-01,1.150454e-01,3.013033e+02,3.214837e+02,1.794577e+00,7
d335e83ad7f741bf,3.754148e-01,8.003116e-01,4.108911e-01,7.046202e-02,4.853257e-08,2.311542e-01,2.181968e-01,2.867298e+02,3.068571e+02,1.323000e-02,7
d33cbb234efa4296,4.201835e-01,1.205504e+00,2.537092e-01,8.827710e-02,3.588406e-04,2.694404e-01,1.956024e-01,2.913041e+02,3.114846e+02,1.688208e+04,7
d53b11bcaa0a2095,7.129124e-01,1.866892e-01,3.377260e-01,2.756150e-01,1.298176e-05,8.409005e-03,4.643921e-01,3.407548e+02,3.609352e+02,9.518918e+11,7
