participantsID,a,Ter,eta,z,sz,st,v,AICc(3),BIC(3),Chi(3),df
00aa64fdcb675341,6.139067e-01,9.034262e-01,4.188444e-01,1.884407e-01,8.970968e-10,7.965445e-01,2.316788e-01,2.202502e+02,2.376378e+02,1.513874e-01,6
02535fcf7e16bb56,7.465617e-01,1.875057e-01,4.991152e-01,2.786772e-01,2.461980e-06,1.693955e-01,2.556336e-01,5.198013e+02,5.371889e+02,1.057438e+02,6
06c46b112368babf,6.787968e-01,4.002516e-01,5.000000e-01,2.303825e-01,3.578375e-05,7.995031e-01,1.368768e-02,4.281522e+02,4.455397e+02,1.643507e+03,6
09ba82a2ca814481,3.226073e-01,1.061047e+00,2.718049e-01,5.203775e-02,4.037216e-05,6.945635e-03,2.553713e-01,1.812083e+02,1.985959e+02,1.480000e-02,6
0abfc32a4d12c731,1.943643e+00,1.129456e+00,2.054576e-01,1.888875e+00,4.637819e-07,6.107033e-01,-4.591368e-03,2.098863e+02,2.272738e+02,1.480000e-02,6
0b0a94c202d0b233,7.374185e-01,3.917042e-01,2.572758e-01,2.718931e-01,1.710853e-03,6.989799e-01,-2.818046e-02,3.027266e+02,3.199323e+02,1.315704e+01,6
0beac20378edac7b,4.234832e-01,5.001205e-01,4.999996e-01,8.966901e-02,2.420517e-26,5.997656e-01,2.457011e-01,4.602422e+02,4.776297e+02,7.730493e+04,6
0d894551bc966608,7.329847e-01,1.313533e-01,4.083312e-01,2.686333e-01,1.202777e-02,7.031191e-09,5.951196e-01,3.542555e+02,3.715980e+02,7.257097e+09,6
10d15198ac61a404,9.588730e-01,5.267160e-01,4.999998e-01,4.597187e-01,3.160776e-04,9.465690e-01,5.702735e-02,3.134402e+02,3.308277e+02,1.491277e+11,6
12a096342c4d052f,5.586131e-01,5.721428e-01,4.868330e-01,1.560243e-01,3.671363e-06,7.013760e-01,1.504606e-01,3.918519e+02,4.092394e+02,1.115031e+10,6
13e347e32a454872,3.822739e-02,7.926067e-01,4.709066e-07,7.306666e-04,5.110358e-19,6.218606e-01,5.000000e+00,5.220876e+02,5.394752e+02,1.136270e+01,6
15e0c065b2c11595,4.115515e-01,8.002168e-01,3.099460e-01,8.468731e-02,2.538926e-03,3.622628e-02,3.298867e-03,3.231034e+02,3.404909e+02,1.205604e-01,6
163b12703c8e5c3c,4.742975e-01,8.933840e-01,4.981333e-01,1.124791e-01,3.666363e-02,2.084846e-01,2.565663e-02,2.670759e+02,2.844634e+02,1.034220e+00,6
1bf86ff948486447,8.885221e-01,5.035692e-01,4.975460e-01,3.947357e-01,2.272133e-03,9.922669e-01,-9.114331e-03,4.677477e+01,6.416229e+01,5.762934e+20,6
1cb976bac3a2016b,6.116995e-01,5.846881e-01,2.691803e-01,1.870881e-01,1.507922e-02,4.306209e-01,3.376109e-02,2.929424e+02,3.103299e+02,1.737889e+00,6
1ffdcfc59b83c43a,4.062091e-01,9.592107e-01,3.150929e-01,8.250293e-02,7.185034e-03,2.443223e-01,1.707036e-03,2.488893e+02,2.662768e+02,1.332000e-02,6
221e9f16c114b2c0,9.818476e-01,5.123311e-01,4.999653e-01,4.820123e-01,1.261617e-02,9.753378e-01,2.562419e-03,2.538092e+02,2.711967e+02,6.530411e+35,6
22d84796012679e8,5.337192e-01,1.329172e+00,4.259007e-01,1.424281e-01,3.151545e-03,1.597277e-02,3.390556e-01,1.434432e+02,1.607858e+02,1.470000e-02,6
247384e4eccc4f80,1.047464e-01,8.589408e-01,4.657130e-01,5.485905e-03,1.184357e-06,4.786514e-01,6.902525e-01,4.187693e+02,4.361568e+02,1.036000e-02,6
2737c4b829b3018f,3.327480e-02,8.288302e-01,1.828395e-06,5.536060e-04,8.960416e-09,4.918188e-01,5.000000e+00,4.596448e+02,4.770324e+02,1.400706e+00,6
27902f23b60a7b76,1.950026e+00,1.287868e+01,3.536087e-01,1.901301e+00,9.476515e-03,7.149443e-01,-7.936363e-02,2.388555e+02,2.562430e+02,6.736972e+02,6
279cd1540fc8f71f,8.799802e-01,5.846222e-02,4.998383e-01,3.871826e-01,1.878666e-03,6.476115e-02,2.531196e-01,5.160123e+02,5.333998e+02,5.163482e+01,6
296a71628065dfa8,3.599377e-01,1.870669e+00,4.620226e-01,6.477758e-02,2.355322e-03,2.641339e-02,-5.234623e-03,2.175240e+02,2.349115e+02,1.480000e-02,6
2a531595d6ab08c8,9.599050e-01,5.085035e-01,4.829296e-01,4.607088e-01,1.246556e-11,9.827147e-01,-3.297036e-03,4.941223e+01,6.679976e+01,4.252590e+33,6
2adc46a1bfc70679,1.462263e-01,1.322593e+00,4.861780e-01,1.069106e-02,9.288278e-03,1.394602e+00,3.182687e-01,3.344776e+02,3.518652e+02,1.036000e-02,6
322d6276c00056e7,5.255244e-02,9.629037e-01,7.705998e-06,1.380879e-03,3.399848e-09,6.243038e-01,5.000000e+00,3.752862e+02,3.926738e+02,7.958096e+00,6
371fb6652968f25f,1.152109e+00,1.316151e-01,4.078560e-02,6.636781e-01,1.846877e-04,2.373238e-03,5.825463e-01,1.274382e+02,1.447808e+02,7.008504e-03,6
3ddf191ed8c33c57,7.450270e-01,5.140601e-01,4.999998e-01,2.775326e-01,4.514300e-06,9.814072e-01,2.376566e-01,3.649844e+02,3.823719e+02,4.009817e+09,6
414f1040212a659b,4.401326e-02,1.067713e+00,7.023927e-07,9.685834e-04,1.882535e-10,7.374252e-01,4.999999e+00,3.731963e+02,3.905838e+02,3.547304e+00,6
