participantsID,a,Ter,eta,z,sz,st,v
00aa64fdcb675341,9.951166e-02,1.051296e+00,8.860794e-04,9.691351e-02,5.947676e-05,2.698220e-02,1.975767e+00
02535fcf7e16bb56,2.504016e-01,5.220378e-01,3.252754e-01,1.582098e-01,6.375005e-02,8.237467e-04,1.240936e-03
06c46b112368babf,2.247824e-01,8.996306e-01,1.722224e-05,1.721313e-01,2.849433e-03,9.152766e-01,8.696503e-01
09ba82a2ca814481,1.231035e-01,1.751007e+00,1.933800e-01,5.351885e-02,4.724527e-02,1.298266e+00,-3.609235e-02
0abfc32a4d12c731,1.506838e-01,1.468942e+00,1.834768e-01,7.267045e-02,5.694729e-02,8.441797e-01,-5.385123e-03
0b0a94c202d0b233,1.181573e-01,9.963406e-01,2.626020e-01,8.829397e-02,5.872660e-02,6.202496e-01,4.604987e-02
0beac20378edac7b,2.429721e-01,7.434234e-01,7.302995e-03,1.713684e-01,4.568210e-03,3.981963e-01,8.301116e-01
0d894551bc966608,1.082937e-01,7.736680e-01,3.729297e-02,1.044217e-01,6.347345e-03,5.362437e-01,1.284461e+00
10d15198ac61a404,5.367026e-01,1.136642e+00,1.740318e-02,1.704767e-03,9.884698e-08,3.499995e-01,-3.511279e-01
12a096342c4d052f,2.047092e-01,7.776742e-01,5.000000e-01,2.057517e-02,2.094624e-02,5.842677e-01,1.979776e-01
13e347e32a454872,1.430984e-01,6.975151e-01,4.998780e-01,1.135983e-01,1.178671e-10,3.802352e-01,1.349282e-01
15e0c065b2c11595,1.480107e-01,1.465096e+00,1.595867e-01,9.500665e-02,6.938506e-02,3.378783e-01,3.367895e-02
163b12703c8e5c3c,1.393752e-01,1.018988e+00,2.095920e-01,3.504054e-02,3.886613e-02,4.763590e-01,-6.059931e-02
1bf86ff948486447,3.129228e-01,7.514120e-01,7.350458e-05,2.754473e-01,8.888212e-03,3.408252e-01,4.725272e-01
1cb976bac3a2016b,4.588804e-01,9.330630e-01,2.830700e-01,4.881333e-02,4.444664e-02,7.071454e-01,-2.057740e-02
1ffdcfc59b83c43a,1.689190e-01,1.504477e+00,1.757012e-01,8.135047e-02,6.751123e-02,6.743824e-01,-5.134755e-03
221e9f16c114b2c0,1.758573e-01,8.730347e-01,2.427631e-01,1.230361e-01,9.239779e-02,3.905114e-01,1.158749e-01
22d84796012679e8,1.129630e-01,1.568471e+00,2.028527e-01,7.802792e-02,6.178827e-02,1.147462e+00,7.590694e-02
247384e4eccc4f80,9.309197e-02,7.990750e-01,2.629887e-01,7.031017e-02,3.177416e-02,2.133901e-01,3.677233e-02
2737c4b829b3018f,1.099871e-01,6.157954e-01,1.672532e-01,5.490352e-02,5.725221e-02,1.001313e-01,3.702883e-02
27902f23b60a7b76,1.022825e-01,1.221722e+00,1.937459e-01,5.795312e-02,3.961015e-02,8.469205e-01,7.723823e-02
279cd1540fc8f71f,1.194371e-01,7.649933e-01,2.055521e-01,1.118809e-01,1.411242e-02,5.860332e-01,-2.622059e-01
296a71628065dfa8,1.245426e-01,1.705374e+00,2.009913e-01,6.044475e-02,5.548489e-02,1.286950e+00,-6.741194e-03
