participantsID,a(101),Ter(101),eta(101),z(101),sz(101),st(101),v(101),a(102),Ter(102),eta(102),z(102),sz(102),st(102),v(102),AICc(5),BIC(5),Chi(5),df
00aa64fdcb675341,4.235711e-01,8.292111e-01,4.401601e-04,8.970626e-02,8.890718e-05,2.555048e-01,6.118112e-02,8.921374e-01,6.841195e-01,8.377164e-03,3.979545e-01,8.500757e-05,2.555052e-01,4.701224e-01,1.921629e+02,2.309660e+02,1.085512e+03,14
02535fcf7e16bb56,8.302015e-01,2.966020e-02,4.995451e-01,3.233420e-01,2.824683e-01,3.478135e-03,4.688129e-01,7.634119e-01,1.045894e-01,4.991356e-01,3.064881e-01,2.895225e-01,3.650447e-03,-1.494864e-04,4.827888e+02,5.215919e+02,7222501221098695,14
06c46b112368babf,3.926872e-01,7.741601e-01,4.964912e-01,9.309305e-02,1.342961e-03,8.814943e-01,-5.271292e-02,4.047478e-01,3.807665e-01,4.059328e-01,8.191041e-02,1.403405e-03,7.436107e-01,-1.328318e-02,4.086050e+02,4.474081e+02,4.974532e+01,14
09ba82a2ca814481,7.628465e-01,5.605542e-01,9.271766e-04,2.909674e-01,2.264001e-05,1.022589e-02,6.423733e-01,2.646731e-01,1.068422e+00,4.334088e-01,3.502591e-02,2.264182e-05,1.022589e-02,-3.073218e-02,9.845906e+01,1.372621e+02,2.426010e-01,14
0abfc32a4d12c731,1.570518e+00,8.674372e-01,3.645993e-01,1.233263e+00,1.930218e-04,2.923396e-05,1.683663e-01,4.057084e-01,1.629197e+00,3.646320e-01,8.221763e-02,1.953362e-04,2.917637e-05,-3.641163e-03,2.227102e+02,2.615133e+02,1.480000e-02,14
0b0a94c202d0b233,8.484802e-01,4.546394e-01,3.988293e-01,3.664551e-01,3.195939e-05,8.529208e-01,-8.425029e-04,6.589074e-01,5.937090e-01,4.582905e-01,2.599835e-01,3.464257e-05,9.574560e-01,-4.346907e-04,3.245709e+02,3.628925e+02,6.099652e+05,14
0beac20378edac7b,1.884405e-03,1.009813e+00,3.071542e-01,8.843970e-04,6.127621e-05,6.216255e-01,3.299930e-05,3.037179e-01,7.399734e-01,4.779059e-04,1.255433e-01,9.392864e-05,5.512601e-01,1.762076e+00,3.549125e+02,3.937156e+02,2.538920e+00,14
0d894551bc966608,6.009810e-01,1.097181e-01,2.285104e-01,1.805891e-01,3.954045e-03,6.587944e-06,6.462930e-01,6.508712e-01,8.075913e-04,3.490485e-03,2.118166e-01,3.605468e-03,6.589194e-06,5.504217e-01,2.764411e+02,3.151253e+02,2.008990e+00,14
10d15198ac61a404,2.503106e-01,7.830669e-01,4.964413e-01,1.421316e-01,3.888344e-04,2.878805e-01,2.303558e-01,1.016894e-01,1.227843e+00,2.174880e-04,5.000000e-04,8.952428e-11,5.740392e-01,-4.105256e-02,2.422938e+02,2.810969e+02,1.391067e+00,14
12a096342c4d052f,1.768281e-01,1.205858e+00,4.355231e-01,1.524836e-01,2.080610e-02,1.119661e+00,2.807681e-02,1.802307e-01,8.575608e-01,4.725441e-01,7.927447e-03,9.935786e-04,6.776701e-01,4.020012e-01,3.637587e+02,4.025618e+02,5.378643e+00,14
13e347e32a454872,1.593916e-01,6.507117e-01,5.000000e-01,1.876789e-02,1.078132e-03,7.157721e-01,-9.152389e-05,4.764192e-02,8.726332e-01,2.191020e-01,1.134876e-03,1.078132e-03,7.142587e-01,5.000000e+00,5.584885e+02,5.972915e+02,6.576108e+01,14
15e0c065b2c11595,2.998136e-01,8.427975e-01,1.664252e-01,4.494409e-02,1.611538e-02,5.091377e-02,4.329147e-02,2.986037e-01,1.534190e+00,4.887378e-01,4.458209e-02,1.611479e-02,5.091377e-02,3.076435e-01,3.279037e+02,3.667068e+02,1.018432e+03,14
163b12703c8e5c3c,1.959747e+00,3.130323e+00,1.694702e-01,1.920303e+00,1.820862e-02,4.709134e-01,-1.185991e-02,2.798882e-01,9.458508e-01,7.969530e-02,3.916870e-02,1.820862e-02,4.709134e-01,1.758546e-02,2.494149e+02,2.882180e+02,1.430000e-02,14
1bf86ff948486447,3.834994e-01,7.746000e-01,6.266509e-02,6.523023e-02,6.672806e-02,3.858426e-01,3.494569e-02,4.924236e-01,3.558507e-01,6.585489e-02,1.203524e-01,6.794941e-02,1.400573e-01,7.883304e-01,3.043076e+02,3.431107e+02,1.333497e-01,14
1cb976bac3a2016b,4.399455e-01,1.106431e+00,2.866146e-01,9.705771e-02,2.039441e-03,7.287334e-01,6.729666e-03,2.695290e-01,9.553367e-01,2.437895e-01,3.592039e-02,2.413802e-03,7.276749e-01,3.450952e-02,2.956218e+02,3.344249e+02,1.307585e-02,14
1ffdcfc59b83c43a,3.218281e-01,9.997336e-01,4.934421e-01,5.178668e-02,1.323639e-02,1.807617e-01,-3.685057e-03,3.451983e-01,1.915795e+00,4.959859e-01,5.958093e-02,1.323639e-02,1.807617e-01,-9.699635e-05,2.640856e+02,3.028886e+02,1.382000e-02,14
221e9f16c114b2c0,3.420248e-02,1.521644e+00,1.615516e-01,1.252124e-03,2.839233e-15,1.645287e+00,4.999993e+00,1.210113e-01,1.232466e+00,3.231466e-01,1.070830e-01,3.207394e-03,1.126887e+00,7.743918e-03,2.909442e+02,3.297473e+02,5.611303e-01,14
22d84796012679e8,1.195728e+00,1.406865e+00,7.725056e-04,7.148832e-01,3.999181e-06,9.007310e-01,2.525423e-01,1.035491e+00,9.950034e-01,3.990458e-02,5.361213e-01,3.999181e-06,9.007310e-01,2.629565e-02,8.848751e+01,1.271717e+02,4.677242e-01,14
247384e4eccc4f80,1.434712e-01,8.296824e-01,4.753778e-01,1.011365e-02,1.853947e-02,4.524809e-01,2.914149e-01,3.298515e-01,5.420561e-01,4.422002e-01,5.763637e-02,1.251204e-02,4.458747e-01,7.978959e-02,4.339330e+02,4.727360e+02,1.645460e+01,14
2737c4b829b3018f,1.898723e-02,8.348611e-01,3.114161e-01,5.000000e-04,1.518746e-16,4.765823e-01,4.421929e+00,4.861076e-02,7.800125e-01,4.950444e-01,3.006532e-02,9.850842e-15,4.858889e-01,-5.490914e-05,4.718571e+02,5.106601e+02,1.061211e+00,14
27902f23b60a7b76,4.522501e-01,3.123836e+00,2.559778e-01,1.104437e-01,1.105233e-01,1.734008e-01,-1.692022e-02,5.145555e-01,7.914252e-01,2.884005e-01,1.485087e-01,1.088710e-01,1.978562e-01,1.558653e-01,2.380709e+02,2.768740e+02,1.431636e-02,14
279cd1540fc8f71f,4.117072e-01,2.696401e-01,3.647958e-01,1.010690e-01,7.232201e-07,5.341666e-01,4.964028e-01,6.218477e-01,2.841815e-01,4.991391e-01,1.933473e-01,7.232200e-07,5.372472e-01,1.219032e-02,5.164467e+02,5.552498e+02,3.527327e+02,14
296a71628065dfa8,4.257794e-01,1.286447e+00,2.787478e-01,9.064406e-02,1.924875e-02,5.791064e-01,2.134235e-02,4.751357e-01,2.155536e+00,2.415921e-01,1.128770e-01,1.924875e-02,5.791064e-01,9.183857e-03,2.360861e+02,2.748892e+02,1.480000e-02,14
2a531595d6ab08c8,1.877046e-01,8.226890e-01,4.999753e-01,1.518881e-01,2.862458e-11,1.562316e-01,1.760864e-03,3.462162e-02,1.524194e+00,4.751567e-01,1.191477e-03,1.056838e-03,1.922145e+00,4.999591e+00,3.369738e+02,3.757768e+02,2.497171e+00,14
2adc46a1bfc70679,3.666441e-01,1.240373e+00,3.245465e-01,3.064105e-02,3.359526e-02,1.229143e+00,7.502677e-03,1.420246e-01,1.196376e+00,8.805536e-02,7.511705e-03,6.917218e-04,1.258880e+00,5.834607e-01,3.419354e+02,3.807385e+02,1.134015e-02,14
322d6276c00056e7,7.825906e-01,1.738167e-01,4.380275e-01,3.176892e-01,7.603826e-05,8.148512e-02,2.242197e-01,3.891733e-01,9.784818e-02,7.567576e-04,7.910082e-02,8.583182e-05,8.060611e-02,3.537591e-01,3.281798e+02,3.669829e+02,126611253991359312,14
371fb6652968f25f,5.830246e-01,1.631707e-01,4.837163e-06,1.698777e-01,4.226066e-03,1.132938e-03,5.054995e-01,6.145987e-01,2.275060e-01,1.592475e-02,1.893394e-01,5.217026e-05,1.241879e-03,5.807692e-01,1.459399e+02,1.846242e+02,9.473827e-02,14
3ddf191ed8c33c57,2.043091e-01,1.100249e+00,2.763078e-01,1.696037e-01,8.222247e-03,9.745767e-01,1.197874e-03,3.680827e-03,1.019938e+00,3.715894e-02,2.114591e-03,4.815818e-12,1.001875e+00,9.776795e-01,3.444398e+02,3.832429e+02,1.379389e+01,14
414f1040212a659b,3.393023e-02,9.962117e-01,8.972390e-11,1.065895e-03,1.131790e-03,5.944196e-01,4.954354e+00,2.345323e-01,6.727297e-01,2.929820e-01,1.447978e-01,1.243626e-03,1.136488e-02,7.981471e-02,3.857020e+02,4.245050e+02,1.749811e+00,14
46099f8b742520b0,2.144594e-02,8.706381e-01,1.361167e-09,1.227247e-03,4.444754e-11,4.351897e-01,4.935651e+00,1.640188e-02,9.089916e-01,8.875712e-13,7.291186e-04,9.228229e-11,4.199833e-01,4.999684e+00,4.267349e+02,4.655380e+02,6.946734e+00,14
46fd6e0b3b5c1df3,3.838696e-01,2.632249e-01,1.229051e-01,7.614254e-02,3.510061e-05,5.538382e-03,6.445548e-01,5.261320e-01,7.513264e-01,2.606694e-01,1.384074e-01,8.500947e-04,5.469748e-03,-1.880606e-03,2.616565e+02,3.004595e+02,1.334458e+00,14
4866612e834a9f5a,7.845841e-02,8.903537e-01,2.936713e-01,3.609038e-02,6.820062e-02,8.226427e-01,-4.153195e-02,1.234489e-01,8.248058e-01,3.329725e-01,6.692544e-02,7.196209e-11,6.797744e-01,8.868732e-02,4.462762e+02,4.839718e+02,7.547490e+00,14
49c4e664cf02d362,3.790273e-01,6.236795e-01,1.656540e-01,7.183087e-02,4.221831e-03,6.552859e-03,-4.331178e-02,5.068335e-01,3.011303e-01,9.093323e-05,1.284401e-01,4.221829e-03,6.716685e-03,6.278774e-01,3.265866e+02,3.653897e+02,1.061956e+03,14
4a43f99c56b2a634,6.425049e-02,1.016903e+00,2.507555e-01,3.022550e-03,4.844099e-03,6.084998e-01,8.797163e-01,5.889929e-01,4.221274e-01,6.771356e-02,1.590106e-01,7.613640e-05,4.033023e-01,7.453537e-01,2.920106e+02,3.308137e+02,3.521421e-01,14
