participantsID,a(101),Ter(101),eta(101),z(101),sz(101),st(101),v(101),a(102),Ter(102),eta(102),z(102),sz(102),st(102),v(102),AICc(1),BIC(1),Chi(1),df
279cd1540fc8f71f,1.454992e-01,3.949724e-01,2.000000e-01,1.058501e-02,5.753264e-02,4.314974e-01,1.073020e-01,1.102014e-01,5.639106e-01,2.000000e-01,6.072177e-03,5.753264e-02,4.314974e-01,7.688629e-02,1.614110e+03,1.639780e+03,1.098806e+06,9
296a71628065dfa8,1.229200e-01,1.681370e+00,2.000000e-01,7.554667e-03,5.540960e-02,1.454801e+00,-6.644810e-03,1.233449e-01,1.551521e+00,2.000000e-01,7.606978e-03,5.540960e-02,1.454801e+00,-6.489343e-03,4.892176e+02,5.148882e+02,7.275508e+02,9
2a531595d6ab08c8,1.170879e-01,7.835075e-01,2.000000e-01,6.854793e-03,5.193162e-02,6.697918e-01,2.102121e-02,1.137193e-01,7.049187e-01,2.000000e-01,6.466034e-03,5.193162e-02,6.697918e-01,6.628357e-02,8.846574e+02,9.103279e+02,1.628626e+03,9
2adc46a1bfc70679,1.689461e-01,8.862035e-01,2.000000e-01,1.427139e-02,7.278292e-02,7.529774e-01,-3.479138e-02,1.545336e-01,7.870795e-01,2.000000e-01,1.194032e-02,7.278292e-02,7.529774e-01,2.088694e-02,5.703352e+02,5.960058e+02,4.662455e+02,9
322d6276c00056e7,1.054266e-01,6.633848e-01,2.000000e-01,5.557388e-03,4.944450e-02,5.821485e-01,9.661406e-02,1.143267e-01,6.302786e-01,2.000000e-01,6.535298e-03,4.944450e-02,5.821485e-01,1.107061e-01,1.442256e+03,1.467927e+03,5.372129e+05,9
371fb6652968f25f,2.441966e-01,4.679852e-01,2.000000e-01,2.981599e-02,9.170345e-02,5.732069e-01,1.410619e-01,1.633743e-01,8.058079e-01,2.000000e-01,1.334558e-02,9.170345e-02,5.732069e-01,1.494940e-01,1.366754e+03,1.392354e+03,3.435642e+06,9
3ddf191ed8c33c57,1.401342e-01,7.138502e-01,2.000000e-01,9.818792e-03,6.050205e-02,5.587068e-01,4.194457e-02,1.287638e-01,5.277205e-01,2.000000e-01,8.290062e-03,6.050205e-02,5.587068e-01,5.151247e-02,1.028370e+03,1.054041e+03,2.383585e+03,9
414f1040212a659b,1.103727e-01,6.920056e-01,2.000000e-01,6.091070e-03,5.507399e-02,6.166221e-01,4.925269e-02,1.344005e-01,6.782658e-01,2.000000e-01,9.031753e-03,5.507399e-02,6.166221e-01,3.016841e-02,1.337122e+03,1.362792e+03,1.773165e+05,9
46099f8b742520b0,1.012373e-01,6.195242e-01,2.000000e-01,5.124494e-03,4.344683e-02,5.864663e-01,8.562168e-02,9.185973e-02,6.837343e-01,2.000000e-01,4.219105e-03,4.344683e-02,5.864663e-01,8.713580e-03,1.031074e+03,1.056744e+03,2.248069e+03,9
46fd6e0b3b5c1df3,1.468095e-01,4.390401e-01,2.000000e-01,1.077652e-02,5.577895e-02,5.352619e-01,1.747127e-01,1.010969e-01,7.504308e-01,2.000000e-01,5.110293e-03,5.577895e-02,5.352619e-01,2.385454e-02,1.356637e+03,1.382308e+03,1.332100e+06,9
4866612e834a9f5a,1.836941e-01,3.446444e-01,2.000000e-01,1.687176e-02,6.894283e-02,4.689438e-01,-1.912951e-02,1.227185e-01,6.974530e-01,2.000000e-01,7.529913e-03,6.894283e-02,4.689438e-01,2.445472e-02,1.307721e+03,1.332735e+03,1.083463e+06,9
49c4e664cf02d362,1.178846e-01,9.810905e-01,2.000000e-01,6.948389e-03,5.207775e-02,7.533488e-01,-7.353044e-02,1.135721e-01,6.930179e-01,2.000000e-01,6.449308e-03,5.207775e-02,7.533488e-01,1.754331e-01,1.372026e+03,1.397696e+03,2.723546e+06,9
4a43f99c56b2a634,9.848502e-02,8.318313e-01,2.000000e-01,4.849650e-03,4.753094e-02,7.142357e-01,-4.637847e-02,1.127636e-01,7.553592e-01,2.000000e-01,6.357813e-03,4.753094e-02,7.142357e-01,1.948523e-01,8.793127e+02,9.049833e+02,5.383962e+04,9
4a6bf10e80304920,1.493379e-01,4.517311e-01,2.000000e-01,1.115091e-02,6.672636e-02,3.651515e-01,2.087746e-02,1.472237e-01,3.597166e-01,2.000000e-01,1.083741e-02,6.672636e-02,3.651515e-01,2.192401e-02,1.141299e+03,1.166899e+03,6.713882e+03,9
4dee88b397c3bbf4,1.272951e-01,8.937245e-01,2.000000e-01,8.102019e-03,5.744242e-02,8.353543e-01,6.809459e-02,1.280046e-01,9.626184e-01,2.000000e-01,8.192583e-03,5.744242e-02,8.353543e-01,3.824459e-02,7.703055e+02,7.959760e+02,1.635545e+03,9
4e3de1ed1c0d6103,1.597079e-01,5.380190e-01,2.000000e-01,1.275330e-02,5.936868e-02,5.704217e-01,-7.316928e-02,1.041530e-01,7.295849e-01,2.000000e-01,5.423921e-03,5.936868e-02,5.704217e-01,-1.742908e-01,6.011416e+02,6.267417e+02,1.255941e+03,9
52abc657a668b04e,1.283898e-01,6.719735e-01,2.000000e-01,8.241976e-03,5.308788e-02,6.795647e-01,5.279855e-02,1.075563e-01,8.381703e-01,2.000000e-01,5.784175e-03,5.308788e-02,6.795647e-01,5.349425e-02,9.686931e+02,9.943637e+02,3.336384e+03,9
5497867d4afb5993,1.288804e-01,7.253219e-01,2.000000e-01,8.305079e-03,5.129984e-02,5.483785e-01,-1.990178e-01,9.911888e-02,4.932969e-01,2.000000e-01,4.912277e-03,5.129984e-02,5.483785e-01,-2.433059e-02,6.424897e+02,6.681603e+02,1.253491e+03,9
