participantsID,a(101),Ter(101),eta(101),z(101),sz(101),st(101),v(101),a(102),Ter(102),eta(102),z(102),sz(102),st(102),v(102)
6ece121c0867568c,2.119980e-01,8.491299e-01,4.829473e-11,2.060053e-01,1.052562e-02,3.281894e-01,-1.306400e-01,2.119980e-01,8.491299e-01,4.829473e-11,1.771838e-01,2.150360e-06,1.011323e-04,-1.306400e-01
739442e141b9639a,1.277298e-01,7.392532e-01,2.935354e-04,6.313211e-02,1.239522e-01,1.202720e-01,-1.271948e-01,1.277298e-01,7.392532e-01,2.935354e-04,1.047859e-01,4.866430e-05,1.356655e-01,-1.271948e-01
74dc2bc1712979fe,5.035134e-01,8.907255e-01,3.076953e-01,3.353229e-02,3.318866e-02,4.849430e-01,-7.031765e-03,5.035134e-01,8.907255e-01,3.076953e-01,6.415812e-02,2.514987e-02,8.105682e-01,-7.031765e-03
75da8965ce4f9b28,1.386504e-01,1.020409e+00,2.730510e-01,5.567609e-02,1.103522e-01,6.588954e-01,-3.534645e-02,1.386504e-01,1.020409e+00,2.730510e-01,5.152203e-02,3.232998e-03,8.856972e-01,-3.534645e-02
77d9b25715656b19,8.728223e-02,9.469804e-01,5.000000e-01,4.990824e-02,1.711824e-10,6.747569e-01,-1.774781e-02,8.728223e-02,9.469804e-01,5.000000e-01,7.336856e-02,2.492868e-02,8.300742e-01,-1.774781e-02
7e158eee0bbe3c33,1.460065e-01,2.053562e+00,1.807486e-01,9.056349e-02,4.866583e-02,1.719499e-01,5.833294e-02,1.460065e-01,2.053562e+00,1.807486e-01,1.007056e-01,6.636803e-02,2.676823e-01,5.833294e-02
819c4ba6a036130b,1.660180e-01,6.176090e-01,2.638610e-01,1.149682e-01,2.436971e-02,3.282231e-01,-1.439116e-02,1.660180e-01,6.176090e-01,2.638610e-01,8.500689e-02,1.610223e-01,2.144188e-01,-1.439116e-02
820fed1432e2cffc,3.049007e-01,1.785093e+00,5.238329e-11,3.039007e-01,2.348301e-06,2.019949e+00,9.724039e-02,3.049007e-01,1.785093e+00,5.238329e-11,2.798506e-02,7.584354e-03,4.229894e-11,9.724039e-02
8364d0796dcecadf,3.789053e-01,2.454602e+00,3.016690e-04,3.375943e-01,3.723108e-02,3.268126e-02,7.886701e-01,3.789053e-01,2.454602e+00,3.016690e-04,2.284228e-01,8.382830e-05,4.123698e-03,7.886701e-01
84397dc336c286b4,2.072654e-01,9.315965e-01,4.666716e-04,1.442669e-01,9.924379e-02,7.798917e-01,-2.195631e-02,2.072654e-01,9.315965e-01,4.666716e-04,2.062654e-01,5.488444e-13,2.957618e-01,-2.195631e-02
865f30c3abd2af67,1.222317e-01,7.831291e-01,3.516712e-01,9.019579e-02,6.307191e-02,2.650921e-01,1.810033e-02,1.222317e-01,7.831291e-01,3.516712e-01,9.594493e-02,1.152456e-03,2.659387e-09,1.810033e-02
88316d88dd9fdbf7,1.608806e-01,1.369305e+00,1.567129e-01,9.912366e-02,6.187254e-02,5.473920e-01,4.206361e-02,1.608806e-01,1.369305e+00,1.567129e-01,9.806013e-02,7.301896e-02,7.073415e-01,4.206361e-02
88586c741f59e4d3,2.345825e-01,9.740296e-01,1.719554e-01,1.337242e-01,2.007166e-01,9.378605e-01,6.749216e-02,2.345825e-01,9.740296e-01,1.719554e-01,1.691083e-01,3.624759e-03,6.903287e-01,6.749216e-02
8b79e9cd1e3a58e9,3.249882e-01,1.551603e+00,4.491287e-02,2.948007e-01,1.529427e-02,1.725852e+00,-6.585506e-02,3.249882e-01,1.551603e+00,4.491287e-02,2.881941e-01,2.021065e-04,2.822741e-10,-6.585506e-02
8e3374a0d50454e0,1.250917e-01,7.930103e-01,2.194360e-03,6.165781e-02,1.223156e-01,1.880206e-01,6.457433e-02,1.250917e-01,7.930103e-01,2.194360e-03,1.230915e-01,3.000312e-03,4.727345e-01,6.457433e-02
8e531917bed03e00,1.388654e-01,1.594039e+00,1.798899e-01,9.688577e-02,5.292627e-02,4.722088e-01,5.105221e-02,1.388654e-01,1.594039e+00,1.798899e-01,8.066383e-02,7.446179e-02,5.710300e-01,5.105221e-02
946fca84b1d53bed,1.360563e-01,1.090324e+00,1.420546e-13,5.935632e-02,1.177087e-01,7.942697e-01,1.609940e-02,1.360563e-01,1.090324e+00,1.420546e-13,1.334777e-01,4.157230e-03,6.211670e-01,1.609940e-02
96b09fe2762bafab,2.902032e-01,6.937947e-01,3.403644e-02,4.929084e-02,1.986570e-02,4.034135e-01,5.702935e-03,2.902032e-01,6.937947e-01,3.403644e-02,1.613269e-01,2.567526e-01,3.623972e-01,5.702935e-03
99bca86575635ced,1.650543e-01,7.697163e-01,4.102524e-01,8.660268e-02,1.932652e-06,3.815588e-01,-9.171614e-02,1.650543e-01,7.697163e-01,4.102524e-01,4.542198e-02,7.089944e-07,8.126998e-01,-9.171614e-02
9d781c40d36055b2,1.266229e-01,8.835939e-01,4.635333e-01,1.191981e-01,8.579427e-04,5.020687e-01,-2.994923e-02,1.266229e-01,8.835939e-01,4.635333e-01,1.713223e-02,6.890825e-17,5.147747e-01,-2.994923e-02
9e5ca4f7d45dda1b,1.667812e-01,1.227658e+00,3.014533e-02,4.724270e-03,8.448489e-03,1.132905e+00,2.113036e-01,1.667812e-01,1.227658e+00,3.014533e-02,2.161414e-02,4.222827e-02,1.057317e+00,2.113036e-01
9ead7cfe118211af,1.455546e-01,8.044274e-01,2.559201e-01,1.286805e-01,4.195582e-03,6.311555e-02,-3.975553e-02,1.455546e-01,8.044274e-01,2.559201e-01,1.252962e-01,3.951688e-02,5.708547e-01,-3.975553e-02
a0891b37b5b5d79d,5.401731e-02,9.762031e-01,1.454511e-01,2.392991e-02,4.684224e-02,5.975907e-01,3.441696e-02,5.401731e-02,9.762031e-01,1.454511e-01,3.705367e-02,3.292729e-02,4.515089e-01,3.441696e-02
a0b880b91c2982dc,4.341800e-01,1.338146e+00,8.331596e-02,3.808080e-01,1.057440e-01,1.386581e+00,-3.668855e-02,4.341800e-01,1.338146e+00,8.331596e-02,2.783861e-01,3.560741e-02,7.640891e-09,-3.668855e-02
a751959dd7084c7b,2.820440e-01,8.903622e-01,5.797010e-02,2.454107e-01,1.586554e-03,3.098775e-01,-2.654689e-02,2.820440e-01,8.903622e-01,5.797010e-02,1.790649e-01,1.337306e-02,5.493802e-08,-2.654689e-02
a7ef69324e55dcf3,1.634997e-01,9.537139e-01,4.870751e-04,1.251851e-01,8.753836e-05,1.066217e+00,3.913510e-02,1.634997e-01,9.537139e-01,4.870751e-04,9.598484e-02,1.340297e-01,5.944494e-01,3.913510e-02
ab06a32c33b7c594,1.355937e-01,1.048662e+00,7.318998e-04,1.155330e-01,2.329050e-05,1.046346e+00,-7.859903e-02,1.355937e-01,1.048662e+00,7.318998e-04,1.345937e-01,9.570038e-04,5.515810e-01,-7.859903e-02
ab652d1792ba579f,2.031595e-01,3.178803e+01,6.712623e-03,2.532149e-02,9.977236e-04,1.274528e+01,2.951298e-01,2.031595e-01,3.178803e+01,6.712623e-03,2.021595e-01,5.468124e-07,1.894005e+01,2.951298e-01
ab7c01f6e1ec753a,1.224946e-01,1.145413e+00,5.683770e-10,1.553768e-02,5.240752e-05,8.743377e-01,9.727198e-02,1.224946e-01,1.145413e+00,5.683770e-10,1.214946e-01,2.012361e-05,9.240352e-01,9.727198e-02
adb5486de57c1af0,1.809906e-01,9.213874e-01,3.586242e-13,1.076001e-01,1.182223e-01,5.633323e-01,5.805798e-02,1.809906e-01,9.213874e-01,3.586242e-13,1.796762e-01,1.628700e-03,4.831749e-01,5.805798e-02
ae4cf4947761ad3f,1.437311e-01,9.844035e-01,2.473070e-08,8.714046e-02,9.977219e-02,6.241015e-01,4.823882e-02,1.437311e-01,9.844035e-01,2.473070e-08,4.459421e-02,8.818842e-02,1.037376e+00,4.823882e-02
af8390dd2a780433,9.560606e-02,1.278139e+00,4.772045e-01,3.918808e-02,7.427032e-02,9.585520e-01,-4.433225e-03,9.560606e-02,1.278139e+00,4.772045e-01,4.851553e-02,1.674736e-02,5.632344e-01,-4.433225e-03
b8d6cea15a548aa9,1.507686e-01,8.185738e-01,9.166306e-02,1.247819e-01,7.903991e-03,3.127568e-01,1.730497e-02,1.507686e-01,8.185738e-01,9.166306e-02,9.597228e-02,9.688971e-02,1.146826e-01,1.730497e-02
bc688588712e0329,1.711384e-01,1.740262e+00,1.810571e-01,7.613331e-02,6.780793e-02,1.285074e+00,-4.560496e-02,1.711384e-01,1.740262e+00,1.810571e-01,5.779674e-02,6.535945e-02,9.710496e-01,-4.560496e-02
bd2adbff911d558e,1.916091e-01,1.184031e+00,3.550923e-04,1.538712e-01,1.207678e-11,1.215541e+00,-2.874423e-02,1.916091e-01,1.184031e+00,3.550923e-04,1.906091e-01,7.063592e-04,9.443655e-01,-2.874423e-02
c00c5c68db223d0f,1.371155e-01,1.136123e+00,2.928046e-14,1.007320e-01,4.310468e-03,9.438603e-01,-7.113319e-02,1.371155e-01,1.136123e+00,2.928046e-14,1.361155e-01,9.237405e-04,7.096039e-01,-7.113319e-02
c012de0ccb49819f,1.159027e-01,6.269767e-01,4.220964e-08,4.169067e-02,4.135442e-03,6.255232e-01,-3.290885e-02,1.159027e-01,6.269767e-01,4.220964e-08,6.130554e-02,3.417623e-02,7.691000e-01,-3.290885e-02
c4ea8a11570e9599,9.309279e-02,9.071718e-01,3.142235e-01,3.379098e-02,9.008684e-05,5.668285e-01,-3.769341e-02,9.309279e-02,9.071718e-01,3.142235e-01,7.497753e-02,3.523053e-02,6.257007e-01,-3.769341e-02
c79644ab153c0a48,1.076610e-01,6.852386e-01,3.283936e-10,6.347752e-02,8.736702e-02,3.682707e-01,2.846275e-02,1.076610e-01,6.852386e-01,3.283936e-10,5.782492e-02,3.992978e-09,2.596738e-01,2.846275e-02
c7ddb07dc740f9c1,3.267862e-01,1.444620e+00,3.471610e-01,2.940162e-01,6.453992e-02,1.415576e+00,7.386194e-02,3.267862e-01,1.444620e+00,3.471610e-01,3.095632e-02,4.362794e-03,1.790699e+00,7.386194e-02
c893ddb5f65f1a1c,1.619891e-01,1.717770e+00,2.210131e-01,1.095102e-01,4.655752e-02,7.123367e-01,1.485504e-02,1.619891e-01,1.717770e+00,2.210131e-01,7.386502e-02,5.351896e-02,7.728980e-01,1.485504e-02
ce134a9a9b3122a0,1.431322e-01,4.903673e-01,9.945147e-02,9.587163e-02,9.352098e-02,5.436602e-01,7.210189e-02,1.431322e-01,4.903673e-01,9.945147e-02,6.957078e-02,5.839069e-10,5.583966e-01,7.210189e-02
d2bdb6ae89eb8aca,1.449401e-01,1.133848e+00,5.569904e-02,2.943374e-02,2.281603e-02,6.345699e-01,1.219995e-01,1.449401e-01,1.133848e+00,5.569904e-02,7.280832e-02,1.432636e-01,1.187155e+00,1.219995e-01
d335e83ad7f741bf,1.705822e-01,8.545848e-01,1.496165e-01,4.182509e-02,2.468935e-02,1.691903e-01,1.049517e-01,1.705822e-01,8.545848e-01,1.496165e-01,9.323519e-02,6.096619e-02,5.435991e-03,1.049517e-01
d33cbb234efa4296,1.623260e-01,1.656636e+00,2.866716e-04,1.613260e-01,2.311819e-06,1.941004e+00,4.030631e-01,1.623260e-01,1.656636e+00,2.866716e-04,9.560135e-03,1.705088e-02,3.144540e-02,4.030631e-01
d53b11bcaa0a2095,1.587151e-01,8.962019e-01,1.435275e-11,1.577151e-01,1.000000e-03,7.708833e-01,-1.135111e-02,1.587151e-01,8.962019e-01,1.435275e-11,1.091499e-01,9.228335e-02,7.585469e-01,-1.135111e-02
d794e2c3b9ab247f,1.388412e-01,6.812449e-01,6.522127e-03,8.104044e-02,1.146015e-01,1.248188e-01,-1.707245e-02,1.388412e-01,6.812449e-01,6.522127e-03,8.633788e-02,3.090227e-09,1.887700e-01,-1.707245e-02
d9a79bcfee67b028,1.225771e-01,7.880586e-01,4.329297e-01,1.113649e-01,2.142439e-02,3.942782e-04,-1.607432e-01,1.225771e-01,7.880586e-01,4.329297e-01,9.538236e-02,1.250845e-04,3.042122e-01,-1.607432e-01
dfbeb23c419b6979,1.387136e-01,9.481177e-01,2.211890e-01,8.815886e-02,1.001096e-01,5.374510e-01,-4.583966e-03,1.387136e-01,9.481177e-01,2.211890e-01,4.150025e-02,8.200051e-02,2.032695e-01,-4.583966e-03
e03130e76a547e00,1.662397e-01,9.515533e-01,4.659602e-03,1.652396e-01,3.023441e-04,4.745567e-01,8.198146e-02,1.662397e-01,9.515533e-01,4.659602e-03,3.265161e-02,2.119991e-03,7.892307e-02,8.198146e-02
e0da73d8b215a4e9,1.614267e-01,7.829030e-01,3.062882e-01,1.080671e-01,7.885058e-02,1.678844e-02,-1.651662e-01,1.614267e-01,7.829030e-01,3.062882e-01,1.318897e-01,4.030997e-06,2.331564e-01,-1.651662e-01
e35e2512791cd931,1.833817e-01,1.231858e+00,3.002945e-01,1.687406e-01,4.409709e-04,1.640715e+00,9.227542e-03,1.833817e-01,1.231858e+00,3.002945e-01,1.267457e-01,1.122720e-01,1.122965e+00,9.227542e-03
e46f1f873f43128b,1.238629e-01,9.672395e-01,2.252822e-03,4.096810e-02,6.861016e-02,8.303882e-01,3.189080e-02,1.238629e-01,9.672395e-01,2.252822e-03,1.107099e-01,2.525886e-02,8.964790e-01,3.189080e-02
e7d525b0fc295332,1.413989e-01,1.168533e+00,5.095214e-03,1.403563e-01,5.673408e-09,1.299066e+00,6.918116e-02,1.413989e-01,1.168533e+00,5.095214e-03,4.516954e-02,8.933908e-02,1.145499e+00,6.918116e-02
e9ca70bcef834214,1.568829e-01,1.290827e+00,2.492866e-01,2.693116e-02,5.286232e-02,1.139023e+00,-1.598898e-01,1.568829e-01,1.290827e+00,2.492866e-01,1.109545e-01,1.469968e-02,6.445312e-01,-1.598898e-01
ec9403432374ee06,1.026609e-01,1.073926e+00,5.000000e-01,3.149910e-02,6.199819e-02,2.940424e-01,5.632487e-02,1.026609e-01,1.073926e+00,5.000000e-01,9.000977e-02,2.390252e-02,6.169006e-01,5.632487e-02
ed3ee15cd6ecee51,2.228755e-01,9.655487e-01,3.308504e-01,5.090302e-02,8.409241e-02,4.133588e-01,-6.661606e-02,2.228755e-01,9.655487e-01,3.308504e-01,5.888859e-02,6.370618e-02,1.245407e-01,-6.661606e-02
efbc4b723940e000,3.007767e-01,1.320686e+00,2.748069e-01,5.553713e-02,7.617327e-02,1.242882e+00,-7.710934e-02,3.007767e-01,1.320686e+00,2.748069e-01,9.517813e-02,1.124795e-01,4.978922e-01,-7.710934e-02
efe8a903afdceede,4.700623e-01,1.011702e+00,3.922283e-01,1.431343e-02,2.125831e-02,3.915467e-02,-2.195283e-02,4.700623e-01,1.011702e+00,3.922283e-01,4.343293e-02,6.706513e-03,6.926580e-01,-2.195283e-02
f1de714332531aa5,3.188653e-01,6.941278e-01,1.779210e-01,2.656142e-01,1.126927e-02,2.175935e-08,1.048700e-01,3.188653e-01,6.941278e-01,1.779210e-01,1.679079e-01,2.763875e-01,1.541854e-03,1.048700e-01
