participantsID,a,Ter,eta,z,sz,st,v
00aa64fdcb675341,9.951166e-02,1.051296e+00,8.860794e-04,9.691351e-02,5.947676e-05,2.698220e-02,1.975767e+00
02535fcf7e16bb56,2.504016e-01,5.220378e-01,3.252754e-01,1.582098e-01,6.375005e-02,8.277696e-04,1.240936e-03
06c46b112368babf,2.293803e-01,9.040448e-01,6.735760e-02,1.755671e-01,3.017916e-03,9.189547e-01,9.526862e-01
09ba82a2ca814481,1.231035e-01,1.751007e+00,1.933800e-01,5.351885e-02,4.724527e-02,1.298266e+00,-3.609235e-02
0abfc32a4d12c731,1.506838e-01,1.468942e+00,1.834768e-01,7.267045e-02,5.694729e-02,8.441797e-01,-5.385123e-03
0b0a94c202d0b233,1.181573e-01,9.963405e-01,2.626022e-01,8.829397e-02,5.872659e-02,6.202493e-01,4.604992e-02
0beac20378edac7b,2.429751e-01,7.434234e-01,7.377774e-03,1.713656e-01,4.521063e-03,3.982089e-01,8.301725e-01
0d894551bc966608,1.086147e-01,7.736904e-01,2.887872e-05,1.042956e-01,6.240220e-03,5.363895e-01,1.445324e+00
10d15198ac61a404,5.367026e-01,1.136642e+00,1.740318e-02,1.704767e-03,9.884698e-08,3.499995e-01,-3.511279e-01
12a096342c4d052f,3.638686e-01,8.768923e-01,3.220681e-10,1.736644e-03,2.473289e-03,6.844522e-01,1.759721e+00
13e347e32a454872,2.321375e-01,5.704492e-01,4.609449e-01,1.336221e-01,9.715517e-02,5.148662e-02,2.135175e-01
15e0c065b2c11595,1.480107e-01,1.465096e+00,1.595867e-01,9.500665e-02,6.938506e-02,3.378783e-01,3.367895e-02
163b12703c8e5c3c,1.383213e-01,1.018546e+00,2.082771e-01,3.491031e-02,3.837379e-02,4.733444e-01,-6.018184e-02
1bf86ff948486447,3.074074e-01,7.550656e-01,8.900383e-02,2.516300e-01,9.756122e-03,2.565806e-01,8.463669e-01
1cb976bac3a2016b,4.591973e-01,9.330646e-01,2.830766e-01,4.881387e-02,4.445052e-02,7.071444e-01,-2.058147e-02
1ffdcfc59b83c43a,1.689190e-01,1.504477e+00,1.757012e-01,8.135047e-02,6.751123e-02,6.743824e-01,-5.134755e-03
221e9f16c114b2c0,1.754813e-01,8.789906e-01,2.529376e-01,1.235935e-01,9.436828e-02,3.937104e-01,1.187028e-01
22d84796012679e8,1.129630e-01,1.568471e+00,2.028527e-01,7.802792e-02,6.178827e-02,1.147462e+00,7.590694e-02
247384e4eccc4f80,9.309489e-02,7.990919e-01,2.630801e-01,7.031159e-02,3.180337e-02,2.134232e-01,3.679964e-02
2737c4b829b3018f,1.099871e-01,6.157954e-01,1.672532e-01,5.490352e-02,5.725221e-02,1.001313e-01,3.702883e-02
27902f23b60a7b76,1.022825e-01,1.221722e+00,1.937459e-01,5.795312e-02,3.961015e-02,8.469205e-01,7.723823e-02
279cd1540fc8f71f,1.342661e-01,7.613702e-01,3.221554e-01,1.259898e-01,1.555276e-02,5.804228e-01,-2.363252e-01
296a71628065dfa8,1.245426e-01,1.705374e+00,2.009913e-01,6.044475e-02,5.548489e-02,1.286950e+00,-6.741194e-03
2a531595d6ab08c8,1.639540e-01,8.241867e-01,2.757173e-01,1.331874e-01,4.911722e-02,3.007233e-01,4.711087e-03
2adc46a1bfc70679,2.826343e-01,5.864352e-01,1.029862e-01,1.154294e-01,1.767846e-01,3.974773e-02,4.762169e-02
322d6276c00056e7,2.230628e-01,7.420557e-01,5.119731e-02,1.255552e-01,2.199834e-02,8.416413e-02,1.228356e+00
371fb6652968f25f,2.547386e-01,7.546142e-01,1.608024e-05,1.507548e-01,2.189420e-05,1.264106e-01,1.026073e+00
3ddf191ed8c33c57,1.890683e-01,6.955927e-01,2.354690e-01,1.531344e-01,3.871829e-02,6.323871e-02,-2.932496e-03
414f1040212a659b,1.622755e-01,8.060730e-01,3.333845e-01,1.202485e-01,3.792589e-02,2.642088e-01,1.077241e-02
46099f8b742520b0,1.403275e-01,7.020898e-01,3.318891e-01,8.136257e-02,8.637542e-02,4.525516e-03,-2.272523e-02
46fd6e0b3b5c1df3,1.739958e-01,9.192985e-01,4.956609e-01,1.384517e-01,2.204170e-02,4.989871e-01,-1.395600e-02
4866612e834a9f5a,5.771579e-02,1.047592e+00,8.930746e-02,2.759670e-02,5.419340e-02,9.771840e-01,1.013554e-01
49c4e664cf02d362,1.001623e-01,9.707070e-01,6.827992e-05,9.159428e-02,2.990098e-07,5.951049e-01,1.673617e+00
4a43f99c56b2a634,1.972152e-01,9.226285e-01,6.355409e-02,1.327244e-01,2.314330e-03,4.495760e-01,1.232279e+00
4a6bf10e80304920,1.994995e-01,5.028596e-01,1.903665e-01,1.114304e-01,1.751383e-01,3.268724e-06,8.537965e-03
4dee88b397c3bbf4,4.363054e-01,1.448918e+00,1.743762e-01,1.660785e-02,1.533613e-02,1.778588e+00,3.465178e-01
4e3de1ed1c0d6103,1.358539e-01,8.080770e-01,3.748090e-05,8.277204e-04,4.042707e-10,6.103226e-01,-2.668977e+00
52abc657a668b04e,6.411325e-02,1.065361e+00,3.159437e-01,3.978774e-02,4.605911e-02,5.194028e-01,4.936967e-02
5497867d4afb5993,9.461899e-02,5.492331e-01,5.000000e-01,4.015646e-02,4.891027e-07,2.130106e-01,-7.839865e-02
5696a26f6b865ccb,2.223205e-01,1.203206e+00,1.341740e-03,2.105355e-01,1.888022e-07,1.538362e+00,7.209304e-01
582ab220066afebc,1.352822e-01,1.610617e+00,1.801980e-01,7.758681e-02,6.665400e-02,1.189536e+00,2.990654e-02
5b92bfe31aef1ef9,1.151824e-01,1.015578e+00,8.515866e-02,1.123625e-01,4.504510e-03,5.527052e-01,1.431619e+00
61dce9b56e969395,1.647160e-01,6.110835e-01,5.338314e-02,7.110711e-02,7.910959e-02,1.104917e-01,7.848922e-02
6246f3d78ae6b481,7.365988e-02,1.233131e+00,2.261348e-01,4.871149e-02,3.804910e-02,8.034870e-01,1.074412e-01
6ac61d4f76c3add5,2.198575e-01,7.659149e-01,1.364532e-01,1.516163e-01,6.519552e-08,3.511013e-01,1.245009e+00
6b1327cc38c17c20,1.564915e-01,8.016727e-01,2.418080e-01,5.867974e-02,5.661377e-02,2.550852e-02,-5.912205e-02
6d04498f5bb2aefc,1.870162e-01,8.953157e-01,3.059832e-01,1.298999e-01,1.615244e-05,4.525700e-01,-2.119792e-02
