participantsID,a(101),Ter(101),eta(101),z(101),sz(101),st(101),v(101),a(102),Ter(102),eta(102),z(102),sz(102),st(102),v(102),AICc(1),BIC(1),Chi(1),df
00aa64fdcb675341,3.163577E-01,1.999786E+00,2E-01,5.004111E-02,1.42361E-01,1.555054E+00,1.99939E-02,1.587491E-01,1.45589E+00,2E-01,1.260063E-02,7.143708E-02,1.555054E+00,2.451555E-01,1.498077E+03,1.529105E+03,5.036702E+06,11
06c46b112368babf,2.7908E-01,4.756151E-01,2E-01,3.894282E-02,1.25586E-01,3.332719E-01,-1.947884E-02,2.84029E-01,2.649891E-01,2E-01,4.033623E-02,1.27813E-01,3.332719E-01,-1.723585E-02,6.405984E+02,6.716266E+02,2.114069E+02,11
09ba82a2ca814481,1.604755E-01,1.221658E+00,2E-01,1.287619E-02,7.221397E-02,1.025869E+00,2.850723E-01,1.948648E-01,1.05805E+00,2E-01,1.898615E-02,8.768916E-02,1.025869E+00,-3.868178E-02,2.397883E+03,2.428911E+03,9.799853E+06,11
0b0a94c202d0b233,5.896064E-01,3E-01,2E-01,1.738179E-01,2.653229E-01,1.190294E-01,-1.385298E-03,4.313948E-01,5.267964E-02,2E-01,9.305075E-02,1.941277E-01,1.190294E-01,1.85544E-03,3.88405E+02,4.194331E+02,1.143718E+02,11
0beac20378edac7b,1.475558E-01,8.306076E-01,2E-01,1.088636E-02,6.640013E-02,8.301663E-01,-7.631085E-02,1.926454E-01,1.014206E+00,2E-01,1.855613E-02,8.669045E-02,8.301663E-01,2.020198E-01,6.595763E+02,6.906045E+02,9.701599E+02,11
0d894551bc966608,3.522655E-01,3E-01,2E-01,6.204549E-02,1.585195E-01,3.954226E-01,9.808694E-02,1.494209E-01,5.787169E-01,2E-01,1.11633E-02,6.72394E-02,3.954226E-01,2.604603E-01,1.548196E+03,1.579224E+03,2.560197E+06,11
10d15198ac61a404,4.588768E-01,3E-01,2E-01,1.05284E-01,2.064946E-01,5.952738E-01,1.996812E-02,1.54597E-01,1.022831E+00,2E-01,1.195011E-02,6.956864E-02,5.952738E-01,-2.517397E-01,2.950763E+02,3.261044E+02,7.461E+01,11
12a096342c4d052f,2.307827E-01,1.200933E+00,2E-01,2.663032E-02,1.038522E-01,7.594894E-01,-3.539175E-03,2.408829E-01,4.868215E-01,2E-01,2.901228E-02,1.083973E-01,7.594894E-01,-2.753597E-02,5.048527E+02,5.358809E+02,1.213577E+03,11
13e347e32a454872,1.400203E-01,6.324465E-01,2E-01,9.80284E-03,6.300913E-02,5.931238E-01,-9.279248E-02,1.298627E-01,6.856064E-01,2E-01,8.432164E-03,5.843823E-02,5.931238E-01,-2.118803E-01,5.598886E+02,5.909168E+02,1.158584E+02,11
15e0c065b2c11595,2.402243E-01,8.806003E-01,2E-01,2.885386E-02,1.081009E-01,9.72843E-01,-2.446824E-02,2.126996E-01,1.281273E+00,2E-01,2.262056E-02,9.571482E-02,9.72843E-01,4.440354E-02,4.594785E+02,4.905066E+02,2.160709E+02,11
